87 23 19 42 43 21 331 365 	i = 0 , j = 1 
87 23 19 42 43 21 331 365 	i = 0 , j = 2 
87 23 19 42 43 21 331 365 	i = 0 , j = 3 
87 23 19 42 43 21 331 365 	i = 0 , j = 4 
87 23 19 42 43 21 331 365 	i = 0 , j = 5 
87 23 19 42 43 21 331 365 	i = 0 , j = 6 
87 23 19 42 43 21 331 365 	i = 0 , j = 7 
19 23 87 42 43 21 331 365 	i = 0 , j = 8 

19 23 87 42 43 21 331 365 	i = 1 , j = 2 
19 23 87 42 43 21 331 365 	i = 1 , j = 3 
19 23 87 42 43 21 331 365 	i = 1 , j = 4 
19 23 87 42 43 21 331 365 	i = 1 , j = 5 
19 23 87 42 43 21 331 365 	i = 1 , j = 6 
19 23 87 42 43 21 331 365 	i = 1 , j = 7 
19 21 87 42 43 23 331 365 	i = 1 , j = 8 

19 21 87 42 43 23 331 365 	i = 2 , j = 3 
19 21 87 42 43 23 331 365 	i = 2 , j = 4 
19 21 87 42 43 23 331 365 	i = 2 , j = 5 
19 21 87 42 43 23 331 365 	i = 2 , j = 6 
19 21 87 42 43 23 331 365 	i = 2 , j = 7 
19 21 23 42 43 87 331 365 	i = 2 , j = 8 

19 21 23 42 43 87 331 365 	i = 3 , j = 4 
19 21 23 42 43 87 331 365 	i = 3 , j = 5 
19 21 23 42 43 87 331 365 	i = 3 , j = 6 
19 21 23 42 43 87 331 365 	i = 3 , j = 7 
19 21 23 42 43 87 331 365 	i = 3 , j = 8 

19 21 23 42 43 87 331 365 	i = 4 , j = 5 
19 21 23 42 43 87 331 365 	i = 4 , j = 6 
19 21 23 42 43 87 331 365 	i = 4 , j = 7 
19 21 23 42 43 87 331 365 	i = 4 , j = 8 

19 21 23 42 43 87 331 365 	i = 5 , j = 6 
19 21 23 42 43 87 331 365 	i = 5 , j = 7 
19 21 23 42 43 87 331 365 	i = 5 , j = 8 

19 21 23 42 43 87 331 365 	i = 6 , j = 7 
19 21 23 42 43 87 331 365 	i = 6 , j = 8 

After Sorting
